RoomArea,NumberofAppliances,OutsideTemperature,InsulationThickness,BuildingType,HVACSystem,AverageTemperature,EnergyConsumption
52.82,19.0,33.52,24.51,Residential,Central AC,27.16,1208.29
15.86,1.0,28.16,9.0,,VRF,25.85,300.25
71.94,15.0,28.41,26.45,Residential,Central AC,25.86,1057.51
27.54,8.0,14.9,,Office,Split AC,22.65,628.1
26.75,8.0,29.62,,Educational,Split AC,27.59,620.4
96.96,38.0,12.84,30.0,Educational,Split AC,18.64,2028.09
19.44,1.0,33.45,11.95,Office,Split AC,24.61,582.49
10.01,1.0,8.32,10.35,Commercial,Split AC,18.0,374.3
18.16,7.0,28.08,20.34,Residential,Central AC,25.01,398.36
113.52,17.0,16.79,7.65,Hospital,Split AC,19.98,3239.8
109.38,34.0,39.52,12.09,Hospital,Split AC,27.26,7017.23
247.83,30.0,37.04,13.67,Office,VRF,26.04,6440.02
17.58,8.0,25.58,16.2,Residential,Split AC,25.63,324.32
54.55,16.0,16.43,12.48,Educational,Heat Pump,20.1,948.8
70.01,5.0,15.19,4.66,Educational,Heat Pump,19.33,1056.86
72.0,7.0,33.11,9.13,Residential,Split AC,25.33,1513.95
34.7,9.0,16.59,10.83,Commercial,VRF,18.0,631.82
19.97609356738744,35.0,38.35,14.55,Hospital,Heat Pump,23.06,12233.668870893442
224.48,22.0,24.6,15.41,Residential,,22.79,1758.06
10.25,3.0,26.78,19.3,Office,Central AC,25.66,270.55
98.95,20.0,18.68,10.04,Residential,Central AC,19.17,1828.25
72.32,18.0,35.77,20.1,Office,VRF,23.94,1795.1
14.39,5.0,28.85,25.36,Commercial,VRF,25.43,338.64
172.53,22.0,-57.93875575593913,15.68,Residential,Heat Pump,24.18,2525.24
107.1,26.0,17.95,10.5,Hospital,Split AC,18.12,3446.47
205.88,27.0,21.23,21.09,Commercial,Heat Pump,23.08,2570.55
29.83,8.0,18.66,20.56,Residential,Central AC,20.31,611.4
142.95,18.0,30.95,23.74, Office,VRF,23.68,2193.68
14.8,1.0,22.28,14.15,Office,Central AC,21.5,232.65
13.22,8.0,28.27,12.62,Residential,Central AC,27.5,406.34
25.71,7.0,21.54,12.71,Residential,Split AC,66.55345810928969,487.43
17.88,6.0,25.65,20.12,Educational,Central AC,23.68,373.72
63.96,10.0,22.58,17.06,Office,Rooftop Unit,21.65,1108.12
42.25,19.0,8.77,6.83,Educational,Split AC,,1737.19
29.38,1.0,20.58,19.78,Educational,Heat Pump,23.09,290.84
181.19,28.0,6.91,8.45,Commercial,Split AC,20.47,8835.54
52.23,7.0,,5.6,Residential,VRF,20.54,648.51
22.64,6.0,22.32,8.62,Commercial,Central AC,20.71,575.73
16.43,8.0,22.92,8.86,Residential,Rooftop Unit,,409.09
76.49,19.0,12.38,12.64,Residential,Heat Pump,21.5,1546.92
49.63,7.0,16.95,27.29,Educational,VRF,19.98,508.81
66.89,13.0,40.17,9.06,Educational,Rooftop Unit,28.7,3174.8
10.65,4.0,22.03,26.78,Residential,Central AC,22.98,252.95
36.43,7.0,19.81,5.36,Commercial,Rooftop Unit,20.42,864.48
62.79,5.0,36.89,24.69,Residential,Rooftop Unit,27.68,1373.37
31.26,8.0,31.17,12.99,Office,Rooftop Unit,24.24,1154.13
15.91,1.0,24.78,15.32,Office,Split AC,24.42,199.6
50.64,8.0,15.22,6.47,Educational,Rooftop Unit,19.18,1073.79
17.474993561221325,120.0,16.51,30.0,Residential,Rooftop Unit,19.3,709.26
41.65,14.0,17.7,13.5,Office,Split AC,19.93,1020.81
42.65,11.0,30.5,30.0,Educational,Central AC,24.26,800.32
190.51,36.0,16.61,8.28,Office,Heat Pump,-3.6986881103388853,3431.58
29.22,4.0,28.37,19.06,Educational,Rooftop Unit,26.5,475.6
89.89,22.0,27.64,10.15,Residential,Rooftop Unit,26.93,1699.43
36.16,12.0,-64.00039207927497,8.38,Residential,Central AC,23.43,1055.07
14.15,4.0,8.09,13.04,Hospital,Split AC,20.1,688.07
50.34,19.0,16.42,19.39,Residential,VRF,18.85,880.98
58.23,14.0,23.57,17.57,Commercial,Heat Pump,22.67,985.55
136.37,23.0,11.22,10.18,Commercial,Rooftop Unit,18.0,4929.68
60.36,6.0,21.98,30.0,Residential,Rooftop Unit,23.22,649.0
